0,92,67
1,91,68
2,87,72
3,87,72
4,93,66
5,95,72
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,89,69
14,89,69
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,103,57
32,102,58
33,102,57
34,102,58
35,102,54
36,102,54
37,100,54
38,100,56
39,100,54
40,102,59
41,98,54
42,96,55
43,92,55
44,86,60
45,85,59
46,84,61
47,79,61
48,77,62
49,70,67
50,75,71
51,75,68
52,73,69
53,64,72
54,55,68
55,54,69
56,51,75
57,53,76
58,54,76
59,54,76
60,54,76
61,54,76
62,53,76
63,54,76
64,53,76
65,53,75
66,52,75
67,66,70
68,69,71
69,62,72
70,62,72
71,65,66
72,69,65
73,62,64
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,109,53
91,109,53
92,117,48
93,117,47
94,116,53
95,116,53
96,116,53
97,116,53
98,115,53
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,105,58
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,74,50
138,77,47
139,75,47
140,80,48
141,80,48
142,81,49
143,79,52
144,83,49
145,81,51
146,85,49
147,85,49
148,85,49
149,82,51
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,82,52
162,82,52
163,82,52
164,84,52
165,85,52
166,86,53
167,86,54
168,84,57
169,87,56
170,87,55
171,87,59
172,87,58
173,85,60
174,85,60
175,89,61
176,88,61
177,83,62
178,83,62
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,92,60
186,97,61
187,95,66
188,92,66
189,96,64
190,106,66
191,106,74
192,110,71
193,111,71
194,110,78
195,110,77
196,112,76
197,110,77
198,109,76
199,110,77
200,109,76
201,108,76
202,109,76
203,109,76
204,109,75
205,109,74
206,109,74
207,109,74
208,108,74
209,106,74
210,105,74
211,104,75
212,108,78
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,75,68
234,73,69
235,75,68
236,74,67
237,74,67
238,73,67
239,98,68
240,93,70
241,93,70
242,93,70
243,92,70
244,92,70
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
